,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
32304,0dErd,5rk1/1R5p/2p1p2r/P4q2/2PP2p1/4P1P1/P4PQ1/4RK2 w - - 1 31,f1e2 f5c2 e2f1 h6h1 g2h1 c2f2,1755,75,97,9800,deflection endgame long mate mateIn3 sacrifice,https://lichess.org/8SY88S9L#61,
32310,0dF9T,8/R5P1/3R4/5k1p/P5p1/5bP1/1r3P2/6K1 w - - 3 43,g7g8q b2b1 d6d1 b1d1 g1h2 d1h1,836,86,86,158,endgame long mate mateIn3,https://lichess.org/bcUkBv1L#85,
32386,0dJth,2rk1r2/1p4Q1/p3p1B1/2qpP3/8/5N2/5PPP/5RK1 w - - 1 28,f3g5 c5f2 f1f2 c8c1 f2f1 c1f1,1569,74,95,15920,clearance long mate mateIn3 middlegame sacrifice,https://lichess.org/VFrO1VWp#55,
32414,0dLg6,r3k2r/2pn1p2/pp2pP2/2q5/2P3p1/1P2b1P1/PBQ1N1KP/R4R2 w kq - 1 21,c2e4 h8h2 g2h2 c5h5 h2g2 h5h3,1514,75,94,9517,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/wu05DsW2#41,
32440,0dOQw,5rk1/6q1/pp1p4/3N3Q/2P1P3/1P2P3/P3B1PP/6K1 w - - 5 33,h5h4 g7a1 e2d1 a1d1 h4e1 d1e1,1315,211,54,8,endgame long mate mateIn3,https://lichess.org/hEDBBRSO#65,
32465,0dPp0,5rk1/pqpQ1Rpp/3p4/3N4/2nbP3/8/PP4PP/4R2K b - - 0 21,f8f7 d7e8 f7f8 d5e7 g8h8 e8f8,1732,79,88,51,deflection long mate mateIn3 middlegame,https://lichess.org/6VFaVccq/black#42,
32549,0dWSO,3r2k1/p4ppp/1p2p3/4P1q1/2P2QP1/7P/PP6/5RK1 b - - 2 28,g5h4 f4f7 g8h8 f7f8 d8f8 f1f8,655,86,97,1513,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/BbyRzZ5t/black#56,
32554,0dWpa,4rnk1/5r1p/1p4p1/1Rppq3/8/B2Q3R/2B3PP/6K1 w - - 0 36,b5b1 e5e1 b1e1 e8e1 d3f1 e1f1,1024,89,78,362,long mate mateIn3 middlegame sacrifice,https://lichess.org/Np92NAcp#71,
32607,0dakn,6R1/pp3q1p/4npk1/5N2/8/P5P1/1P3PP1/4R1K1 b - - 2 28,g6f5 g3g4 f5f4 g2g3 f4f3 e1e3,1111,75,88,436,endgame long mate mateIn3,https://lichess.org/x9j0uH2E/black#56,
32666,0dg12,2k2R2/1p4p1/p1p1p3/4p1p1/1P2Q3/PKN1b2r/4r1q1/R7 b - - 1 24,c8c7 e4e5 c7b6 c3a4 b6a7 e5b8,1891,75,94,2359,long mate mateIn3 middlegame,https://lichess.org/QMs29FfG/black#48,
32689,0diLw,r4r2/3R4/4Q2p/k1qN4/ppp5/8/PP3PPP/3R2K1 w - - 1 36,d5c7 c5f2 g1h1 f2f1 d1f1 f8f1,1021,78,80,273,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/naMkFgE6#71,
32734,0dlph,5r1k/4r1p1/2p1q2p/8/PPP5/3Q4/3R2PP/3R2K1 w - - 1 32,b4b5 e6e1 d1e1 e7e1 d3f1 e1f1,1194,76,94,3319,endgame long mate mateIn3 sacrifice,https://lichess.org/kzDe1GeE#63,
32740,0dm7e,6k1/pb1Q1ppp/1p3b2/8/8/1BP4P/PP1N1PP1/4r1K1 w - - 2 23,g1h2 f6e5 f2f4 e5f4 g2g3 e1h1,1664,72,98,9320,endgame long mate mateIn3,https://lichess.org/M9fmybsH#45,
32865,0dwSf,r5r1/1p2k3/1pp5/7b/3B1RP1/8/PPPn4/K4BR1 w - - 0 33,f1d3 a8a2 a1a2 g8a8 d3a6 a8a6,1395,84,82,481,anastasiaMate attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/18phGSBy#65,
32951,0e2Fb,4rqrk/pp1b4/2p2pPB/3p4/1P1P3R/P2BP2P/6P1/6K1 b - - 0 41,f8h6 h4h6 h8g7 h6h7 g7f8 h7f7,1433,78,96,16615,endgame exposedKing hangingPiece kingsideAttack long mate mateIn3,https://lichess.org/sirCZSeK/black#82,
32955,0e2UG,6k1/2p2pp1/pp4bp/3Q4/3P4/P4P2/1P1Bq1PP/6K1 w - - 1 26,d2c3 e2e3 g1h1 e3c1 c3e1 c1e1,2165,79,93,6098,backRankMate endgame long mate mateIn3,https://lichess.org/9OtsXCQ0#51,
32972,0e44b,r5k1/3p1ppp/2p1p3/4n2Q/P7/2PBq3/2P3PP/5R1K b - - 1 21,e5d3 h5f7 g8h8 f7f8 a8f8 f1f8,890,75,98,950,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/0UODPbsI/black#42,
32983,0e5C0,5b1k/2q2p1b/1p3P1p/1Pp2N1P/6Q1/2B2B2/4P1K1/3r4 b - - 4 37,c7d7 g4g7 f8g7 f6g7 h8g8 f5h6,1751,75,92,3289,advancedPawn exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/51E8m0ny/black#74,
33013,0e7en,4r3/2p2k2/p3q3/1pB2r2/6Q1/P4p2/1PPN1R2/3K4 w - - 1 36,f2f1 e6e2 d1c1 e2e1 f1e1 e8e1,1579,83,87,1102,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/Uh0l2dUR#71,
33020,0e7tl,r5k1/pp4pp/1qp5/8/8/b1P2Q2/PBP3PP/5R1K b - - 5 21,a3b2 f3f7 g8h8 f7f8 a8f8 f1f8,1088,83,74,97,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/4thm1iVd/black#42,
33073,0eC94,5rk1/p1pR1ppp/8/2p1P3/2P2Q2/5RKP/qr3PP1/8 b - - 10 28,b2b3 f4f7 f8f7 d7d8 f7f8 d8f8,1575,78,57,59,endgame long mate mateIn3 sacrifice,https://lichess.org/wwrALbdG/black#56,
33100,0eEdq,2r5/4q1p1/p2ppr1k/Pp2p1NP/1Pn1P1Q1/2P5/8/2K3RR b - - 5 30,c4e3 g5f7 e7f7 g4g6 f6g6 h5g6,2161,74,100,317,clearance discoveredAttack exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/htuqGCPg/black#60,
33116,0eFeb,r1br2k1/pp3ppp/2n5/2b5/3qp3/1P4Q1/P1PBBPPP/2KR2NR w - - 3 14,d2c3 c5a3 c1b1 d4d1 e2d1 d8d1,1845,74,99,257,deflection long mate mateIn3 opening queensideAttack,https://lichess.org/MCN4ryvu#27,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
33193,0eLQA,r4r1k/1pqb3p/p1n3p1/2P1ppP1/8/1BP1Q3/3P1PP1/R1B1K2R b KQ - 1 22,a8e8 h1h7 h8h7 e3h3 h7g7 h3h6,1383,77,64,58,attraction kingsideAttack long master mate mateIn3 middlegame sacrifice,https://lichess.org/n0U8zCKl/black#44,
33230,0eOQH,6k1/1p1R1ppp/2n1r3/8/4p3/B3P2P/3Q1PPK/1q6 b - - 5 30,b1a1 d7d8 c6d8 d2d8 e6e8 d8e8,897,101,64,63,endgame long mate mateIn3 sacrifice,https://lichess.org/e67OpudZ/black#60,
33249,0eQHp,4r1k1/pp4pp/1qp2B2/5b2/8/3N2Q1/P1P1nPPP/4R1K1 w - - 1 21,e1e2 b6b1 d3c1 b1c1 e2e1 e8e1,1613,83,81,370,backRankMate long mate mateIn3 middlegame,https://lichess.org/8FZo76G6#41,
33256,0eQkM,1qr3k1/1b2Bppp/p2b2B1/1p1Pp3/1P5Q/P4N2/5PPP/3R2K1 b - - 0 25,h7g6 f3g5 d6e7 h4h7 g8f8 h7h8,1396,75,78,139,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/k8gYGhfp/black#50,
33309,0eTy1,4r1k1/1R6/P6p/5Kp1/7r/3B2R1/2P3PP/8 w - - 9 47,a6a7 h4f4 f5g6 e8e6 g6h5 f4h4,1078,75,99,4304,endgame long mate mateIn3,https://lichess.org/PrN6uTIH#93,
33325,0eVbB,r4r1k/pppq2p1/2np1np1/4pN2/2B1P3/2PPR2p/PP3P2/R2Q2K1 b - - 1 17,g6f5 e3h3 f6h7 h3h7 h8h7 d1h5,1853,77,88,205,attraction kingsideAttack long mate mateIn3 middlegame,https://lichess.org/d1jOfnAu/black#34,Italian_Game Italian_Game_Classical_Variation
33346,0eX3H,7k/pp3K2/2p3P1/8/8/7P/P2p4/8 b - - 0 46,d2d1q g6g7 h8h7 g7g8q h7h6 g8g6,1033,84,93,871,advancedPawn endgame exposedKing long mate mateIn3 promotion queenEndgame,https://lichess.org/LhMkZgJd/black#92,
33367,0eYwa,2k4r/ppp2pb1/7p/4P1p1/8/3Q4/bP3PPP/qNKR3R b - - 0 24,g7e5 d3d7 c8b8 d7d8 h8d8 d1d8,1319,76,94,9639,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/ZiTwuMGY/black#48,
33410,0edKb,4rr1k/ppqb1pPB/7p/2p1N3/2PnQ3/P7/6PP/2R2RK1 b - - 0 25,h8g7 f1f7 f8f7 e4g6 g7h8 e5f7,1537,106,63,15,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/0LLSneen/black#50,
33413,0edbx,2b1k1r1/2pp1pPp/7B/1p6/1P1P4/1p3P2/rP5P/RN3RK1 b - - 1 16,a2a1 f1e1 e8d8 h6g5 f7f6 g5f6,1103,76,95,4231,endgame long mate mateIn3,https://lichess.org/MjFgUxy6/black#32,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
33427,0eeLI,5rk1/ppR4n/4p1q1/3pQ2R/7P/6P1/PPP2r2/6K1 w - - 0 30,c7h7 f2f1 g1h2 f8f2 h2h3 f1h1,1552,76,96,5989,endgame exposedKing long mate mateIn3,https://lichess.org/J8Jn4NFe#59,
33449,0efzS,r7/7k/5R2/2P4p/1p5P/P3PbP1/3R1P2/6K1 w - - 0 36,a3b4 a8a1 d2d1 a1d1 g1h2 d1h1,618,81,100,123,endgame long mate mateIn3,https://lichess.org/XXyH1hDM#71,
33456,0egkW,4r1k1/pp5p/2p3p1/2Pp1qR1/3Q1p2/4rP2/PP5P/6RK b - - 2 26,f5h3 g5g6 h7g6 g1g6 g8f7 d4f6,1087,77,89,1008,endgame kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/t8SOsnwu/black#52,
33475,0ei3x,2b1qk2/1p4pQ/2p5/3p4/p2P4/7P/PrB2PP1/R4K2 w - - 1 29,c2g6 e8e2 f1g1 e2f2 g1h2 f2g2,902,74,96,2066,endgame long mate mateIn3,https://lichess.org/qod0yS7f#57,
33540,0eoIO,1r3rk1/4R2p/6p1/p1P5/3P4/4Q3/q4PPP/4R1K1 w - - 0 31,e3e5 a2f2 g1h1 f2f1 e1f1 f8f1,1201,77,86,373,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/AMjtV78R#61,
33552,0eoyM,8/1R5p/5p1k/5Pp1/6PK/7P/6r1/8 w - g6 0 42,f5g6 h7g6 b7b5 g6g5 b5g5 f6g5,1438,75,98,1165,endgame long mate mateIn3 rookEndgame,https://lichess.org/V2YaExFO#83,
33573,0eqlX,2rr2k1/pp3p1p/6pQ/8/4q3/B4N2/PPR2PPP/1KR5 w - - 5 26,f3g5 e4c2 c1c2 d8d1 c2c1 d1c1,1441,74,90,1327,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/iUJfCpoD#51,
33623,0euXe,5rk1/pbp2ppp/1p6/8/2P5/P5q1/1P3QP1/4RR1K b - - 1 23,g3g4 f2f7 f8f7 e1e8 f7f8 f1f8,1358,107,85,55,endgame long mate mateIn3 sacrifice,https://lichess.org/7yTgBYda/black#46,
33640,0evI8,5r1k/p2b1Qpp/1p4r1/3pRp2/3P4/5P2/PP4PP/4R1K1 b - - 0 28,f8f7 e5e8 d7e8 e1e8 f7f8 e8f8,685,105,75,49,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/eeLovBaB/black#56,
33657,0ewPg,6k1/p5p1/1p2N2p/3p1r2/1P2p3/P3Q3/1q4PP/2R3K1 w - - 0 30,e3c3 b2f2 g1h1 f2f1 c1f1 f5f1,1113,78,89,288,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/8G6NUBcJ#59,
33675,0exbz,2r5/4n1p1/p1r1Pk2/Qp1p1P2/3b3P/1N6/PPq5/K3R2R w - - 1 34,b3d4 c2c1 e1c1 c6c1 h1c1 c8c1,752,82,99,806,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/mZ4YGL6z#67,
33686,0eyQN,5rk1/1p2Q3/1q2p1p1/p7/1nP5/5N2/5PPP/3R2K1 w - - 0 31,f3g5 b6f2 g1h1 f2f1 d1f1 f8f1,806,90,94,377,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/dkcjPcX6#61,
33786,0f6pS,R7/8/P5k1/4p2p/4P2p/4NP1P/r5PK/4n3 w - - 1 46,a6a7 e1f3 h2h1 a2a1 e3f1 a1f1,1427,78,89,48,endgame long mate mateIn3 pin,https://lichess.org/Ua2LxXbK#91,
33839,0fAVb,r4rk1/1R2p2p/6p1/p1p5/2Pq4/P2P4/4QPPP/4R1K1 w - - 0 21,e2e7 d4f2 g1h1 f2f1 e1f1 f8f1,1268,77,77,102,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/U6PdvHma#41,
33842,0fAyO,8/R4k2/5B2/p4Kp1/rn6/8/8/8 b - - 2 47,f7e8 f5e6 b4c6 a7a8 c6d8 a8d8,1820,73,96,5906,endgame exposedKing long mate mateIn3,https://lichess.org/9eaxJOeY/black#94,
33870,0fDeS,r5k1/4ppbp/6p1/2p1PP2/rp4P1/P1B4P/1PP5/2KR3R w - - 0 24,a3b4 g7h6 g4g5 h6g5 c3d2 a4a1,1872,75,98,354,endgame long mate mateIn3,https://lichess.org/d3VtIRme#47,
33881,0fEVu,8/5p1p/5kp1/4p3/3q4/5P2/2B1Q1PP/7K w - - 0 46,c2e4 d4a1 e4b1 a1b1 e2d1 b1d1,894,78,47,74,backRankMate endgame long mate mateIn3,https://lichess.org/atwB2bbF#91,
33904,0fGHt,r5k1/1p4pp/1p1p4/4q3/4P3/p2P3P/2P2Q2/5R1K b - - 1 26,d6d5 f2f7 g8h8 f7f8 a8f8 f1f8,1089,74,99,983,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/PZDfMDP7/black#52,
33929,0fHkr,r1bq1bk1/ppp3pr/2n2nNp/8/3P1p2/2P5/PP4PP/RNBQ1RK1 b - - 0 11,f8d6 d1b3 f6d5 b3d5 c8e6 d5e6,1841,75,95,5796,kingsideAttack long mate mateIn3 opening,https://lichess.org/DmeVF7IE/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
33948,0fJGN,5b1r/2pk1p1p/Q5p1/1p2q3/3nb3/1BN5/PPP2PPP/R4RK1 w - - 0 18,b3f7 d4f3 g2f3 e5g5 g1h1 e4f3,1982,76,94,2127,intermezzo kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/3OXBTaGj#35,Russian_Game Russian_Game_Stafford_Gambit
33980,0fLNG,6k1/1Qp2pp1/P4n1p/4p3/4P3/2N1qP2/1Pr3PP/R6K w - - 1 23,a6a7 c2c1 a1c1 e3c1 c3d1 c1d1,1117,76,98,3403,backRankMate endgame long mate mateIn3,https://lichess.org/AZvWOl1H#45,
34013,0fOoN,8/p6Q/1p1k4/P2p1b2/3q4/8/P2B2PP/7K w - - 0 36,h7f5 d4a1 d2c1 a1c1 f5f1 c1f1,1166,78,93,2621,endgame long mate mateIn3,https://lichess.org/Z8Zg4FyA#71,
34017,0fPLs,7k/8/6Kp/1p4p1/7P/5rP1/P3r3/3R4 b - - 1 37,g5h4 d1d8 e2e8 d8e8 f3f8 e8f8,663,93,85,581,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/K1mANQRC/black#74,
34076,0fUSB,2r3k1/p4p2/7Q/8/3PP1p1/1P4Pn/P1r4P/R6K w - - 3 30,h6h5 c2c1 a1c1 c8c1 h1g2 c1g1,1782,77,88,2905,endgame hookMate long mate mateIn3,https://lichess.org/8v8E8lrq#59,
34086,0fVCN,r4r1k/p1p3pp/1p6/3QNpq1/1PP1n3/P3PR2/6PP/R5K1 b - - 2 24,g5e7 e5g6 h7g6 f3h3 e7h4 h3h4,1328,78,94,10801,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/Jq8oCbOs/black#48,
34109,0fWdQ,2r3k1/4nppp/b3p3/1q2P3/5P2/bPR3B1/6PP/2RQ3K b - - 0 31,a3c1 c3c8 e7c8 d1d8 b5e8 d8e8,949,83,93,1714,long mate mateIn3 middlegame,https://lichess.org/JK9pOU86/black#62,
34117,0fX8v,8/1R4p1/p5kp/2N1bN2/2P1P3/1P2P1PP/P1nr2K1/8 w - - 1 38,g2f3 c2e1 f3g4 h6h5 g4h4 e1g2,1253,74,97,10013,endgame long mate mateIn3,https://lichess.org/xgGETNYS#75,
34165,0fazH,6k1/1r3ppp/4pn2/2pp4/2p5/2P1KP2/R7/8 b - - 0 36,b7b3 a2a8 b3b8 a8b8 f6e8 b8e8,618,107,73,359,backRankMate endgame long mate mateIn3,https://lichess.org/VBsZtBk2/black#72,
34168,0fb2C,7r/4k2P/1q2ppn1/8/1p2b3/2p3PR/2P1Bb1K/2BQ1R2 w - - 0 35,e2d3 f2g1 f1g1 b6f2 g1g2 f2g2,2143,77,96,1928,clearance long mate mateIn3 middlegame sacrifice,https://lichess.org/wwAI8yEE#69,
34248,0fh9Y,6k1/p1r1rQpp/p1pN4/3n4/3q4/7P/PP2RPP1/4R1K1 b - - 0 24,e7f7 e2e8 f7f8 e8f8 g8f8 e1e8,905,87,95,564,attraction long mate mateIn3 middlegame,https://lichess.org/NxQ4RvPT/black#48,
34293,0fjbN,1r4k1/1P4p1/4p1rp/1P1p1pnq/Q2P4/N3P2P/5PPK/1R3B2 w - - 1 35,a4a8 h5h3 g2h3 g5f3 h2h1 g6g1,1740,80,84,2129,arabianMate long mate mateIn3 middlegame sacrifice,https://lichess.org/NhoQEM1s#69,
34333,0fmVW,r4rk1/1p2bp1p/pq2bp2/3R3Q/2B1p3/P3R3/1P3PPP/6K1 b - - 3 19,b6b2 e3g3 g8h8 h5h7 h8h7 d5h5,1470,76,71,167,attraction kingsideAttack long master mate mateIn3 middlegame sacrifice,https://lichess.org/F1N9XZJQ/black#38,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
34398,0fqPu,3r2k1/1Q1b1pp1/4p2p/3pNq2/4nP2/4b1P1/PP4BP/R4R1K w - - 2 23,e5d7 e4g3 h2g3 f5h5 g2h3 h5h3,1644,79,76,77,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/sqlumdmL#45,
34467,0fvCc,5k2/3R1p2/4p1p1/4P2p/P1b4B/1P6/3p1PPK/3r4 b - - 3 42,c4b3 d7d8 f8g7 h4f6 g7h7 d8h8,1051,80,89,433,endgame long master mate mateIn3,https://lichess.org/yzZPP5oe/black#84,
34469,0fvFa,r1br2k1/p4qpp/2n5/1pp3N1/2n5/8/PPP1QPPP/3RR1K1 b - - 3 16,f7g6 d1d8 c6d8 e2e8 g6e8 e1e8,1271,75,93,10546,fork long mate mateIn3 middlegame,https://lichess.org/yMBHRm4r/black#32,Sicilian_Defense Sicilian_Defense_Marshall_Gambit
34524,0fzNS,r4rk1/1p3pp1/1b5p/1B1RP3/p4Pqn/P5N1/1Q3P1P/R1B3K1 w - - 3 25,b5e2 g4h3 e2f1 h4f3 g1h1 h3h2,2067,81,76,145,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/DWlAqlxM#49,
34539,0g0w5,8/pb5p/1p4p1/k4p2/7P/2Q1NqP1/P4P2/6K1 b - - 3 44,a5a4 c3b3 a4a5 e3c4 a5a6 b3a4,1666,75,99,688,endgame long mate mateIn3,https://lichess.org/6rVytRZP/black#88,
34540,0g0zd,5r2/p3R3/2pk4/4R3/2P5/1P3pP1/P4Q2/3r2K1 w - - 8 38,g1h2 f8h8 e7h7 h8h7 e5h5 h7h5,1033,119,41,26,endgame long mate mateIn3 queenRookEndgame,https://lichess.org/0zm3hpaH#75,
34554,0g222,5rk1/p1p2ppp/2Pb4/1r6/3B4/5P2/PP3K1P/R5R1 b - - 4 22,d6c5 g1g7 g8h8 g7g8 h8g8 a1g1,2035,135,57,35,attraction doubleCheck endgame long mate mateIn3 sacrifice,https://lichess.org/Lm7o49pj/black#44,
34555,0g22w,8/3k4/6RP/3r4/pp1r4/8/PPP5/1K5R w - - 2 36,b2b3 d4d1 h1d1 d5d1 b1b2 a4a3,1113,82,93,1187,endgame long mate mateIn3 rookEndgame,https://lichess.org/YejNdrko#71,
34557,0g26C,r5k1/4Rp2/p1q3p1/1p3r1p/2pQ3P/2P3P1/PP3P2/4R1K1 b - - 0 30,c6f3 e7e8 a8e8 e1e8 g8h7 e8h8,988,77,91,445,endgame kingsideAttack long mate mateIn3,https://lichess.org/jl3QaMCL/black#60,
34581,0g3Mu,7k/pp3Bpp/nq6/1N6/5P2/P4R2/Q6P/3r3K w - - 1 31,h1g2 d1g1 g2h3 b6h6 f7h5 h6h5,1843,77,92,571,long mate mateIn3 middlegame,https://lichess.org/MKx8zcxi#61,
34629,0g7CL,5rk1/2p2ppp/p2b3r/1p2P3/3B2bq/2P5/PPQN1PP1/R3RNK1 w - - 1 23,f1g3 h4h2 g1f1 h2h1 g3h1 h6h1,1274,75,84,665,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/eQhoHr5S#45,
34630,0g7Id,2rq1rk1/p2b2pp/5p2/1P1Np3/3nP3/1B1N4/PP4PP/4QR1K b - - 0 24,d7b5 d5e7 g8h8 e7g6 h7g6 e1h4,2015,76,91,309,doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/2Jv2nodo/black#48,
34648,0g8Ku,r1b1q2r/p3n1p1/1b2N1k1/1pnpP3/5pQ1/2P2N2/PP3PPP/R1B1R1K1 b - - 0 18,g6f7 g4g7 f7e6 g7f6 e6d7 f6d6,2146,76,94,4158,long mate mateIn3 middlegame sacrifice,https://lichess.org/4nmuo8mB/black#36,Caro-Kann_Defense Caro-Kann_Defense_Breyer_Variation
34650,0g8O6,2r1kb1Q/pp2q3/5ppp/3p4/4b3/5N2/PP1P1PPP/nNBKR3 w - - 4 20,d2d3 e4f3 g2f3 c8c1 d1c1 e7e1,1552,77,96,5718,attraction deflection exposedKing long mate mateIn3 middlegame,https://lichess.org/FSXoLa3f#39,
34712,0gBwm,1r4k1/2p2ppp/4pn2/Q7/p4P2/5P1P/1Pq3PK/8 b - - 1 31,b8b2 a5a8 b2b8 a8b8 f6e8 b8e8,574,84,100,74,endgame long mate mateIn3,https://lichess.org/WcE0vm3C/black#62,
34743,0gFU9,k2r4/1p3p2/pKp5/PP6/5P2/1R1P4/2r5/8 b - - 0 40,d8d3 b3d3 c6b5 d3d8 c2c8 d8c8,864,89,80,216,endgame long mate mateIn3 rookEndgame,https://lichess.org/8VS3ByWp/black#80,
34752,0gFsX,k5r1/5Q1p/2p5/5Nq1/PP2P3/3P3r/6PP/6RK w - - 1 36,f7c4 h3h2 h1h2 g5h5 f5h4 h5h4,1374,74,95,3381,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/GPXRE0wc#71,
34777,0gHYH,4r1k1/Q6p/3p2p1/5bB1/2q5/8/PP3PPP/5RK1 w - - 1 26,g5h6 c4f1 g1f1 f5d3 f1g1 e8e1,1434,92,35,251,attraction backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/SAYcfAKT#51,
34818,0gKSB,r1bq2rk/p1p3bn/1p1p2Qp/5B2/8/7R/PPP2PPP/4R1K1 b - - 0 27,h7f8 h3h6 g7h6 g6h6 f8h7 h6h7,1431,75,87,69,exposedKing kingsideAttack long mate mateIn3 middlegame,https://lichess.org/4Jz53kx8/black#54,
34867,0gP2J,r1b3k1/ppp2p1p/2p5/8/3q2p1/2PPr1KP/PP4P1/RNBQ1B1R w - - 2 17,g3h2 e3h3 g2h3 d4f2 f1g2 g4g3,2399,75,92,1257,clearance long mate mateIn3 middlegame sacrifice,https://lichess.org/2RQ8kEKu#33,Russian_Game Russian_Game_Stafford_Gambit
34906,0gSFm,1r3rk1/3RQppp/p3p3/3p4/2p5/3q2P1/6PP/5RK1 b - - 2 34,b8b1 e7f7 f8f7 d7d8 f7f8 d8f8,1715,81,82,71,endgame long mate mateIn3 sacrifice,https://lichess.org/0SIGhFwy/black#68,
34907,0gSG8,3R2rk/2p2p1p/5P2/pB6/4Pn2/8/PPP4P/1K6 w - - 3 27,d8d7 g8g1 b5f1 g1f1 d7d1 f1d1,722,87,98,581,backRankMate endgame long mate mateIn3,https://lichess.org/Sev01Wko#53,
34917,0gSyO,8/1p2Q1kp/6p1/p2p3r/P1p4q/2P5/1P4P1/4R1K1 b - - 5 31,g7h6 e7f8 h6g5 e1e5 g5g4 f8f3,1595,216,69,10,endgame long mate mateIn3,https://lichess.org/HBxg0Zxm/black#62,
34923,0gTFt,1Q6/6pk/5q2/2B2p1p/8/5B2/5PPP/6K1 w - - 1 36,b8b4 f6a1 f3d1 a1d1 b4e1 d1e1,470,86,100,141,endgame long mate mateIn3,https://lichess.org/Hz45y8D8#71,
34933,0gUGh,5k2/1p6/p2r3b/5q2/8/3B1P2/PPP2RPP/3R2K1 w - - 0 25,d3f5 d6d1 f2f1 h6e3 g1h1 d1f1,982,76,96,1638,backRankMate deflection endgame hangingPiece long mate mateIn3,https://lichess.org/ZnIRjz7p#49,
34935,0gUS4,1Q6/4nk1p/6p1/p1pprr2/5q2/2P5/PP2RPPP/4R1K1 w - - 2 28,e2e5 f4f2 g1h1 f2f1 e1f1 f5f1,1397,84,80,667,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/QA7Y4OgN#55,
34956,0gWcC,8/8/8/8/3pR3/1PkB4/2P4r/2K5 w - - 5 44,e4e8 h2h1 d3f1 h1f1 e8e1 f1e1,843,97,89,540,endgame long mate mateIn3,https://lichess.org/qBgIwi6X#87,
34996,0gZLL,2r1brk1/pp2b1p1/1qn1p1p1/3pP1N1/3P4/P1NQ4/1P3P2/R1B1K2R b KQ - 3 19,c6e5 h1h8 g8h8 d3h3 h8g8 h3h7,1619,75,96,5855,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/GO4vNxuC/black#38,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
35157,0glSL,r5r1/1p1q1pbk/2p2p1p/p2p1P2/3P3R/2NP1P2/PP1Q3P/2K3R1 b - - 6 21,d7f5 g1g7 g8g7 d2h6 h7g8 h6h8,1673,238,38,19,long mate mateIn3 middlegame,https://lichess.org/BHIyoPEz/black#42,
35202,0gpCq,Q2R4/2p3pp/1p2pr2/1k1p4/8/8/1Pq2PPP/5RK1 w - - 2 25,f1a1 c2f2 g1h1 f2f1 a1f1 f6f1,991,83,94,1280,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/xZmwzs4q#49,
35221,0gqbn,2rq3k/p4Q1p/5bpB/5p2/2P5/3p4/P5PP/4R1K1 b - - 5 30,d3d2 e1e8 d8e8 f7f6 h8g8 f6g7,1597,75,97,11871,deflection endgame fork long mate mateIn3 sacrifice,https://lichess.org/NoKkPVsv/black#60,
35245,0gsDk,5r1k/1Q5p/4R1pb/1p6/8/1B5P/PP1r1qP1/R6K w - - 3 27,e6e7 f2f1 a1f1 f8f1 h1h2 h6f4,1353,76,94,11580,long mate mateIn3 middlegame sacrifice,https://lichess.org/n37WpM9x#53,
