,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
94381,1pq4Z,3R3b/p1p2p1k/1p2bPp1/2q1P2p/2P5/8/P2Q2PP/7K b - - 5 31,c5e5 d8h8 h7h8 d2h6 h8g8 h6g7,1231,76,86,654,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/6VtY8odk/black#62,
94435,1pu5E,8/8/8/8/6pp/5pkP/6P1/6K1 w - - 0 57,h3g4 f3g2 g4g5 h4h3 g5g6 h3h2,1968,74,94,8766,advancedPawn endgame long master mate mateIn3 pawnEndgame,https://lichess.org/qyt2bedh#113,
94461,1pvKi,6rk/pp1R2pp/2p5/5P2/5qP1/1BQ2p2/PPP2P1P/6K1 w - - 5 30,b3g8 f4c1 d7d1 c1d1 c3e1 d1e1,1099,184,33,14,endgame long master mate mateIn3,https://lichess.org/p7mwAqQR#59,
94485,1pwnP,6k1/6pp/p7/2p1p3/3qP3/P4Q2/3r3P/5R1K b - - 4 33,d4d8 f3f7 g8h8 f7f8 d8f8 f1f8,1024,75,94,3134,backRankMate endgame long mate mateIn3,https://lichess.org/eFEs6KeU/black#66,
94512,1pyYd,k6r/pp6/6Pq/1Pp1pP2/2PbP1K1/3P1QR1/7P/7R w - - 13 46,h2h4 h6h5 g4h3 h5h4 h3g2 h4h1,1266,77,93,1792,endgame long mate mateIn3,https://lichess.org/6m1F0weM#91,
94516,1pydY,r3rnk1/p2q3p/1p1B1RpQ/2ppPb2/6P1/2P5/P1B4P/5RK1 b - - 0 25,f5c2 f6f8 e8f8 f1f8 a8f8 h6f8,1605,75,83,101,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/ifOujTYw/black#50,
94526,1pzgd,r4rk1/1p4pp/1Qn5/8/5p2/2P5/PPb2PPP/K2R2NR w - - 3 23,d1c1 a8a2 a1a2 f8a8 b6a5 a8a5,1274,77,89,914,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/57TNu4nz#45,
94546,1q13p,4r1k1/p4p1p/1p1R2pB/8/3Pq3/1P4P1/P3bP1P/3Q2K1 w - - 4 26,d1e1 e4h1 g1h1 e2f3 h1g1 e8e1,1727,75,97,9155,attraction discoveredAttack endgame long mate mateIn3 sacrifice,https://lichess.org/3epKbxuT#51,
94596,1q4JR,1R3rk1/2Q2ppp/5q2/8/8/6PP/3r1P2/4R1K1 b - - 2 33,f8b8 c7b8 d2d8 e1e8 d8e8 b8e8,1382,78,78,308,endgame long mate mateIn3 xRayAttack,https://lichess.org/ptkzeMIT/black#66,
94616,1q5c8,6k1/1rp1qpp1/3p3p/3P4/3p4/P4Q2/5PPP/4R1K1 w - - 0 26,e1e7 b7b1 f3d1 b1d1 e7e1 d1e1,610,86,74,279,backRankMate endgame long mate mateIn3 queenRookEndgame,https://lichess.org/PN5muG3M#51,
94639,1q7au,4rr2/R5pp/1ppk1q2/2b5/Q2p4/1PP5/1P3PPP/2B2RK1 w - - 0 24,b3b4 f6f2 f1f2 e8e1 f2f1 e1f1,1620,135,86,38,fork long mate mateIn3 middlegame sacrifice,https://lichess.org/meheSBuu#47,
94657,1q9NU,r7/ppp1PQ2/2kp4/3N4/4r3/6R1/PPPq2PP/1K5R w - - 0 28,d5c3 e4e1 h1e1 d2e1 c3d1 e1d1,898,76,97,1085,long mate mateIn3 middlegame queensideAttack,https://lichess.org/iiw4AASo#55,
94776,1qH1J,r4rk1/1p3ppp/p2p4/2pN2n1/4P3/6P1/PP3PK1/R6R b - - 1 23,g5e4 d5e7 g8h8 h1h7 h8h7 a1h1,1402,75,93,8279,anastasiaMate attraction endgame long mate mateIn3 sacrifice,https://lichess.org/ldwo6YpZ/black#46,
94784,1qHa2,6k1/6p1/R5P1/4K3/4P3/8/p7/r7 b - - 0 42,g8f8 e5e6 a1b1 a6a8 b1b8 a8b8,1623,73,96,9515,endgame long mate mateIn3 rookEndgame,https://lichess.org/yvKzcN1r/black#84,
94827,1qLFt,5r1k/4n1p1/7p/1Q2R3/3q3B/8/5PPP/6K1 w - - 0 32,h4e7 d4f2 g1h1 f2f1 b5f1 f8f1,1540,78,96,14354,backRankMate endgame long mate mateIn3,https://lichess.org/ACoUMeTi#63,
94851,1qMoI,r1b2k1r/ppp2P1p/2n3pB/8/4R3/2b2N2/PnP2PPP/4R1K1 b - - 1 16,f8f7 f3g5 f7f6 e4f4 c8f5 e1e6,2177,80,89,611,clearance long mate mateIn3 middlegame pin,https://lichess.org/p1NxGDAn/black#32,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
95045,1qZX7,r1bq1rk1/p1p2p2/2pp1B2/8/3Q4/2P3P1/P6P/R6K b - - 0 19,d8d7 d4h4 d7h3 h4g5 g8h7 g5g7,1884,80,92,282,long mate mateIn3 middlegame quietMove,https://lichess.org/L846h9lF/black#38,Kings_Pawn_Game Kings_Pawn_Game_Other_variations
95051,1qZmQ,6rk/5p1p/7R/p3p3/Pp1pP3/1q1P1Q1P/1P4r1/5R1K b - - 1 29,b3b2 h6h7 h8h7 f3h5 h7g7 f1f7,2012,78,84,174,attraction discoveredAttack endgame long mate mateIn3 sacrifice,https://lichess.org/qj62Ftbz/black#58,
95097,1qe6g,2k2r2/1b2b2p/1Qp1p2p/2p5/2P5/N4qP1/P6P/1R4K1 b - - 3 23,f3e2 b6b7 c8d8 b7b8 d8d7 b1b7,1177,75,92,225,exposedKing fork long mate mateIn3 middlegame,https://lichess.org/h52BVFPc/black#46,
95145,1qhf7,r2qk2r/ppp2pp1/2p5/2b1N3/4n3/3PB1p1/PPP2PP1/RN1Q1RK1 w kq - 0 11,d3e4 h8h1 g1h1 d8h4 h1g1 h4h2,1931,76,93,576,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/ChYkholF#21,Ruy_Lopez Ruy_Lopez_Berlin_Defense
95163,1qiv8,8/5ppp/4p1k1/8/2p2P1P/3qP3/6PK/4Q3 b - - 4 38,c4c3 e1g3 g6f5 g3g5 f5e4 g5e5,1191,76,99,441,endgame exposedKing long mate mateIn3 queenEndgame,https://lichess.org/KDvhJOO1/black#76,
95271,1qqH3,r3kb1r/pp1n4/3Np1p1/1q2PnBp/7P/3Q4/PP3PP1/R4RK1 b kq - 1 17,f5d6 d3g6 d6f7 g6e6 f8e7 e6e7,1594,75,91,142,exposedKing long master mate mateIn3 middlegame,https://lichess.org/YLDPPyLn/black#34,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
95275,1qqX1,1r4k1/p1q2r2/5pp1/2Pp4/Q3p3/P3B3/4nPPP/R4R1K w - - 0 26,a4d1 c7h2 h1h2 f7h7 e3h6 h7h6,1442,86,77,574,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/1XiG7ksC#51,
95301,1qtMH,5r1k/1p4n1/5q2/4n2p/3Q3R/p7/P1B2PPP/3R2K1 w - - 0 33,d4e4 f6f2 g1h1 f2f1 d1f1 f8f1,1330,78,83,828,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/VEpMWtqg#65,
95336,1qwYH,r1b2r1k/pp3Npp/1n6/7n/1P2P3/PQ6/3q1PPP/R4RK1 b - - 1 20,h8g8 f7h6 g8h8 b3g8 f8g8 h6f7,1488,79,95,1777,doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate,https://lichess.org/xfjRxwB3/black#40,
95365,1qyTF,7k/4PQpp/8/5p2/4pP2/4P3/P2q1KPP/8 w - - 1 37,f2g3 d2e3 g3h4 e3f4 g2g4 f4g4,1582,75,93,958,deflection endgame long mate mateIn3 queenEndgame,https://lichess.org/xx8NQAds#73,
95408,1r1hg,3r2k1/1p2R1p1/p4p1p/3q4/3p4/1P1Q2PP/5P2/6K1 b - - 2 35,d5b5 d3g6 b5g5 e7g7 g8h8 g7h7,1816,75,91,1047,endgame long mate mateIn3,https://lichess.org/Uqmw0UXe/black#70,
95443,1r47M,6rk/1R1R3p/p7/3N1bb1/2P1pP2/4p3/P3B1pK/8 w - - 1 38,d7f7 g5f4 h2g1 f4h2 g1h2 g2g1q,1192,104,82,20,advancedPawn attraction exposedKing long mate mateIn3 middlegame promotion,https://lichess.org/6oqT0Lwb#75,
95669,1rKmN,r7/ppp1Q3/1k1p4/3B2B1/4P3/2N2Pqb/PP3RP1/4n1K1 w - - 5 22,c3e2 e1f3 g1f1 h3g2 f2g2 g3e1,1979,76,68,50,kingsideAttack long mate mateIn3 middlegame pin,https://lichess.org/bSHTNckG#43,
95696,1rMjG,5rk1/pbq1r1pp/5n2/n1p3NB/4P3/3PP2Q/PPP4P/R5RK b - - 7 28,f6e4 h5f7 f8f7 h3h7 g8f8 h7h8,1764,74,91,938,discoveredAttack kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/zdOQlpzB/black#56,
95714,1rNXs,4r2k/1p3pp1/7p/qP1R4/2P5/3Qb3/6PP/4R2K w - - 1 32,e1e3 a5e1 e3e1 e8e1 d3f1 e1f1,1643,80,86,204,backRankMate endgame long mate mateIn3 sacrifice xRayAttack,https://lichess.org/PxFpX90t#63,
95750,1rQIY,6k1/1r3p1p/5p2/8/p3r3/8/P1R2PPP/4R1K1 w - - 0 27,e1e4 b7b1 c2c1 b1c1 e4e1 c1e1,588,98,94,325,backRankMate endgame long mate mateIn3 rookEndgame,https://lichess.org/mVCDo3B5#53,
95792,1rTqB,5rk1/2p2ppp/3p3q/8/P2PP3/2P1bQ1P/2r3P1/1R3R1K b - - 4 24,c2c3 f3f7 f8f7 b1b8 f7f8 f1f8,1207,76,92,3396,long mate mateIn3 middlegame sacrifice,https://lichess.org/To46eOJn/black#48,
95814,1rVmz,1rb2k1r/p4pp1/2pp4/4p3/4P1pq/1P1B2N1/P1P2PP1/R2QR1K1 w - - 0 18,d3e2 h4h2 g1f1 h2h1 g3h1 h8h1,1148,77,93,1648,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/BZXe95ue#35,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
95831,1rWqe,5rk1/ppQ3p1/5p2/6Kp/8/2N3P1/PPP2q1r/R2R4 w - - 0 26,g5g6 f2c2 d1d3 c2d3 c3e4 d3e4,1567,75,94,601,long mate mateIn3 middlegame,https://lichess.org/WXC6oHjY#51,
95861,1rZT3,6k1/2bbQpp1/p6p/8/2pN4/P2P2PP/2P2qBK/8 w - - 0 34,e7d7 c7g3 h2h1 f2e1 g2f1 e1f1,1744,75,90,1179,endgame long mate mateIn3,https://lichess.org/EXcN05fE#67,
95888,1rbd5,B2R4/R5pp/1p2pr1k/2p1b3/8/2P2P1n/PP6/7K w - - 1 33,d8d7 f6g6 f3f4 h3f2 h1h2 e5f4,2449,86,89,300,endgame exposedKing long mate mateIn3 quietMove,https://lichess.org/80o988hT#65,
95971,1riJM,6rk/5p1p/2Pq4/p2p4/3P1n2/1BN2Q2/1PP2PrP/R3R2K w - - 0 25,e1g1 g2h2 h1h2 d6h6 f3h5 h6h5,2025,74,94,8975,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/USiTkczj#49,
95981,1rioy,4r2k/1b3Q1p/p5p1/1p6/3P4/P2P4/BP2q1RP/5R1K w - - 1 29,f1g1 e2g2 g1g2 e8e1 f7f1 e1f1,1619,73,96,11289,clearance long mate mateIn3 middlegame pin sacrifice,https://lichess.org/mBjBfPSf#57,
96011,1rkWO,3brk2/1B3pp1/3p2rq/pP6/P1PPN3/4nQPP/7K/3R2R1 w - - 1 31,d1e1 h6h3 h2h3 g6h6 f3h5 h6h5,1476,88,78,653,anastasiaMate attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/KFYyO2Bq#61,
96123,1rt9S,8/p2R1R2/6p1/2k4p/3N1Pn1/8/1r4PP/6K1 w - - 5 33,d4f3 b2b1 d7d1 b1d1 f3e1 d1e1,1287,94,62,48,endgame long mate mateIn3,https://lichess.org/3QA1g0gr#65,
96142,1ruRS,3Rb1k1/p1Q5/4p3/4PpNq/4pP1r/P3B3/1P4P1/6K1 w - - 3 33,c7e7 h4h1 g1f2 h5h4 g2g3 h4h2,1600,165,82,12,long mate mateIn3 middlegame,https://lichess.org/ImtvEOGI#65,
96170,1rwSN,2r2r1k/5p1p/p3p3/6q1/1p2n3/4P3/PPP1Q3/1K4RR b - - 3 30,g5d5 h1h7 h8h7 e2h2 d5h5 h2h5,1452,75,91,1016,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/QdV9ygSh/black#60,
96242,1s1vR,2k4r/4b3/4p3/N1p1Pp2/1qPpbPpr/1R5P/1P3R1K/Q5N1 w - - 0 36,b3b4 h4h3 g1h3 h8h3 h2g1 h3h1,1532,75,97,7846,long mate mateIn3 middlegame,https://lichess.org/c0KpH8U7#71,
96402,1sCGI,r4r1k/5qp1/p1R4p/1p3B2/3Pp1Q1/P3P3/1P3PPP/2R3K1 w - - 3 22,f5e4 f7f2 g1h1 f2f1 c1f1 f8f1,913,94,94,356,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/TPOjgjZd#43,
96420,1sD2n,r4rk1/6p1/6R1/p1b2q2/1pP1N1Q1/3P4/P1B3PP/R5K1 w - - 5 30,e4c5 f5f2 g1h1 f2f1 a1f1 f8f1,1188,78,92,1157,backRankMate fork long mate mateIn3 middlegame sacrifice,https://lichess.org/oGPhUJAI#59,
96508,1sJuE,r4r1k/4bpnP/8/2pPp3/q7/1N1B1P2/1PPQ4/1K1R3R w - - 4 27,d1g1 a4a2 b1c1 a2a1 b3a1 a8a1,1548,87,58,258,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/YAI9l1Ij#53,
96521,1sKgd,2kr3r/1p2n3/pP1b1p2/6p1/3P1nq1/1Q3N1p/3N1P2/R1B1RB1K w - - 0 24,d2e4 g4g2 f1g2 h3g2 h1g1 h8h1,1669,74,96,12269,advancedPawn doubleCheck exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/Eq6fEj5j#47,
96565,1sO0s,5r1k/p4rpp/1p6/1PpQ4/2Pp2R1/4P3/7P/4K3 w - - 1 33,e3e4 f7f1 e1e2 f8f2 e2d3 f1d1,1311,75,98,7263,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/FobH7aC7#65,
96574,1sOwu,4r2k/1bp4p/6p1/2Q1br1q/2BB4/2P1p1P1/PP3P1P/4RRK1 w - - 0 24,e1e3 h5h2 g1h2 f5h5 h2g1 h5h1,1929,116,56,23,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/Pk36wPbL#47,
96591,1sQ7b,3R1b2/1p4kB/p7/4pbN1/1P6/P7/1r3PPP/4R1K1 w - - 1 28,e1e5 b2b1 d8d1 b1d1 e5e1 d1e1,750,96,94,1100,backRankMate long mate mateIn3 middlegame,https://lichess.org/yXwM1Izl#55,
